Date,Open,High,Low,Close,Adj Close,Volume
2014-06-09,76.349998,77.070000,75.800003,76.230003,76.230003,17600
2014-06-10,75.849998,76.199997,75.849998,75.889999,75.889999,18000
2014-06-11,75.860001,76.320000,75.099998,75.110001,75.110001,14400
2014-06-12,75.010002,75.589996,74.529999,74.739998,74.739998,15700
2014-06-13,75.269997,75.379997,74.250000,74.760002,74.760002,24100
2014-06-16,75.080002,75.080002,73.239998,74.300003,74.300003,16900
2014-06-17,73.949997,74.500000,73.400002,73.750000,73.750000,28400
2014-06-18,74.029999,74.440002,73.410004,74.089996,74.089996,10600
2014-06-19,74.050003,74.510002,73.610001,73.980003,73.980003,11500
2014-06-20,74.339996,75.239998,73.680000,75.000000,75.000000,23500
2014-06-23,74.680000,75.919998,74.230003,75.110001,75.110001,27100
2014-06-24,75.000000,75.239998,74.050003,74.150002,74.150002,11900
2014-06-25,73.680000,73.900002,72.010002,73.760002,73.760002,55000
2014-06-26,73.800003,74.099998,72.919998,73.599998,73.599998,12700
2014-06-27,73.110001,74.970001,73.110001,74.559998,74.559998,38000
2014-06-30,74.739998,75.000000,73.660004,73.669998,73.669998,16200
2014-07-01,74.000000,74.940002,74.000000,74.459999,74.459999,18800
2014-07-02,74.730003,75.010002,74.400002,74.629997,74.629997,9800
2014-07-03,75.000000,75.860001,74.730003,75.610001,75.610001,12700
2014-07-07,75.500000,75.500000,74.400002,74.519997,74.519997,14500
2014-07-08,74.400002,74.919998,73.940002,74.239998,74.239998,12200
2014-07-09,74.269997,74.269997,73.250000,73.419998,73.419998,9500
2014-07-10,72.989998,72.989998,72.029999,72.510002,72.510002,14100
2014-07-11,72.110001,72.870003,72.040001,72.639999,72.639999,13100
2014-07-14,73.040001,73.430000,72.010002,72.540001,72.540001,18400
2014-07-15,72.239998,72.500000,72.029999,72.150002,72.150002,14900
2014-07-16,72.690002,72.690002,72.120003,72.430000,72.430000,11100
2014-07-17,72.250000,72.680000,72.050003,72.250000,72.250000,14800
2014-07-18,72.150002,72.690002,72.050003,72.540001,72.540001,12600
2014-07-21,72.309998,72.720001,72.250000,72.599998,72.599998,12100
2014-07-22,72.489998,72.489998,72.250000,72.449997,72.449997,13400
2014-07-23,72.230003,72.400002,72.000000,72.110001,72.110001,16100
2014-07-24,72.110001,72.370003,70.690002,70.760002,70.760002,14100
2014-07-25,70.750000,71.000000,70.500000,70.879997,70.879997,14500
2014-07-28,70.870003,71.180000,70.639999,70.830002,70.830002,22800
2014-07-29,70.919998,71.129997,70.279999,70.699997,70.699997,15100
2014-07-30,70.750000,71.010002,70.000000,70.080002,70.080002,11000
2014-07-31,69.750000,70.410004,68.750000,69.820000,69.820000,32700
2014-08-01,69.820000,70.330002,69.120003,69.279999,69.279999,14800
2014-08-04,69.730003,70.620003,69.199997,70.559998,70.559998,24000
2014-08-05,70.860001,71.660004,70.089996,70.629997,70.629997,17400
2014-08-06,72.000000,72.419998,71.139999,71.680000,71.680000,21000
2014-08-07,71.430000,72.410004,71.050003,72.160004,72.160004,13600
2014-08-08,72.320000,73.940002,72.320000,73.279999,73.279999,21000
2014-08-11,73.480003,74.269997,73.260002,74.150002,74.150002,19100
2014-08-12,74.150002,74.500000,73.720001,74.169998,74.169998,15400
2014-08-13,74.430000,74.790001,74.059998,74.250000,74.250000,12200
2014-08-14,74.449997,74.449997,73.209999,73.900002,73.900002,15900
2014-08-15,74.650002,74.989998,73.610001,74.250000,74.250000,17800
2014-08-18,74.870003,75.110001,74.059998,75.099998,75.099998,25700
2014-08-19,75.250000,76.029999,74.639999,75.900002,75.900002,26700
2014-08-20,75.489998,76.269997,75.059998,75.239998,75.239998,15100
2014-08-21,75.279999,75.279999,74.500000,75.169998,75.169998,15800
2014-08-22,75.150002,75.309998,74.540001,74.599998,74.599998,12800
2014-08-25,75.220001,75.410004,74.010002,74.099998,74.099998,9200
2014-08-26,74.029999,74.699997,73.550003,73.739998,73.739998,12200
2014-08-27,73.830002,73.830002,72.720001,73.389999,73.389999,11000
2014-08-28,73.180000,73.889999,72.860001,73.250000,73.250000,13300
2014-08-29,73.440002,74.410004,73.260002,74.360001,74.360001,12100
2014-09-02,74.839996,76.830002,74.820000,76.510002,76.510002,24800
2014-09-03,76.510002,76.849998,74.540001,75.589996,75.589996,38600
2014-09-04,75.529999,76.959999,75.510002,75.910004,75.910004,25900
2014-09-05,75.919998,77.070000,74.559998,74.610001,74.610001,10400
2014-09-08,74.750000,75.529999,74.010002,75.330002,75.330002,23900
2014-09-09,75.320000,75.500000,74.510002,75.010002,75.010002,19700
2014-09-10,75.860001,76.209999,75.250000,75.620003,75.620003,11600
2014-09-11,75.089996,76.459999,75.089996,76.040001,76.040001,7900
2014-09-12,76.250000,76.449997,75.440002,76.449997,76.449997,22100
2014-09-15,76.470001,76.470001,75.839996,76.260002,76.260002,12000
2014-09-16,76.470001,77.000000,76.190002,76.849998,76.849998,12000
2014-09-17,76.540001,76.820000,76.000000,76.180000,76.180000,15500
2014-09-18,76.389999,76.410004,75.230003,75.389999,75.389999,11100
2014-09-19,76.250000,77.830002,75.400002,77.410004,77.410004,69800
2014-09-22,76.919998,77.769997,76.750000,77.120003,77.120003,14100
2014-09-23,77.000000,77.750000,75.900002,77.019997,77.019997,20000
2014-09-24,77.019997,77.470001,76.400002,76.849998,76.849998,8400
2014-09-25,76.919998,77.449997,74.500000,75.510002,75.510002,23100
2014-09-26,75.379997,77.309998,75.000000,75.739998,75.739998,11400
2014-09-29,74.980003,75.480003,74.559998,74.970001,74.970001,13500
2014-09-30,75.050003,75.220001,74.410004,74.629997,74.629997,20500
2014-10-01,74.260002,74.709999,73.500000,74.129997,74.129997,16900
2014-10-02,73.959999,74.750000,73.040001,73.870003,73.870003,7300
2014-10-03,74.529999,76.660004,74.370003,76.059998,76.059998,16600
2014-10-06,76.589996,76.839996,75.629997,76.059998,76.059998,10000
2014-10-07,75.580002,76.470001,75.440002,75.750000,75.750000,20300
2014-10-08,75.370003,78.910004,75.070000,78.690002,78.690002,38700
2014-10-09,78.250000,78.699997,76.800003,77.019997,77.019997,13500
